package,mentions,classification,has_console_classifier,vuln_count,max_severity,advisory_ids,summary
opencv-python,10,cli,True,62,HIGH,"GHSA-267x-w5hx-8hjr,GHSA-33h2-69j3-r336,GHSA-3448-vrgh-85xr,GHSA-5rpc-gwh9-q9fg,GHSA-634c-v2xv-ffpg,GHSA-6v6p-p97v-g2p7,GHSA-83rh-hx5x-q9p5,GHSA-8849-5h85-98qw,GHSA-89rj-5ggj-3p9p,GHSA-8w3x-457r-wg53,GHSA-9g8h-pjm4-q92p,GHSA-c7gp-2pch-qh2v,GHSA-cvhw-2593-5j2q,GHSA-fffj-9qwg-qmh5,GHSA-fm39-cw8h-3p63,GHSA-fr58-2xhv-qp3w,GHSA-fvq6-392h-6mjj,GHSA-fw99-f933-rgh8,GHSA-hxfw-jm98-v4mq,GHSA-jcxv-2j3h-mg59,GHSA-jggw-2q6g-c3m6,GHSA-m43c-649m-pm48,GHSA-m6vm-8g8v-xfjh,GHSA-pqjj-6f5q-gqph,GHSA-q799-q27x-vp7w,GHSA-qr4w-53vh-m672,GHSA-rqxg-xvcq-3v2f,GHSA-vc29-rj92-gc7j,GHSA-w96g-3p64-63wr,GHSA-wq8f-wvqp-xvvm,GHSA-x3rm-644h-67m8,PYSEC-2023-183,PYSEC-2026-2804,PYSEC-2026-2805,PYSEC-2026-2806,PYSEC-2026-2807,PYSEC-2026-2808,PYSEC-2026-2809,PYSEC-2026-2810,PYSEC-2026-2811,PYSEC-2026-2812,PYSEC-2026-2813,PYSEC-2026-2814,PYSEC-2026-2815,PYSEC-2026-2816,PYSEC-2026-2817,PYSEC-2026-2818,PYSEC-2026-2819,PYSEC-2026-2820,PYSEC-2026-2821,PYSEC-2026-2822,PYSEC-2026-2823,PYSEC-2026-2824,PYSEC-2026-2825,PYSEC-2026-2826,PYSEC-2026-2827,PYSEC-2026-2828,PYSEC-2026-2829,PYSEC-2026-2830,PYSEC-2026-2831,PYSEC-2026-2832,PYSEC-2026-2833",Integer Overflow or Wraparound in OpenCV; Out-of-bounds Read in OpenCV ; NULL Pointer Dereference in OpenCV.
sqlmap,10,cli,True,0,,,
multiqc,9,cli,True,0,,,
cairosvg,8,cli,True,6,HIGH,"GHSA-f38f-5xpm-9r7c,GHSA-hq37-853p-g5cf,GHSA-rwmf-w63j-p7gv,PYSEC-2021-5,PYSEC-2023-9,PYSEC-2026-2122",CairoSVG vulnerable to Exponential DoS via recursive <use> element amplification; Regular Expression Denial of Service in CairoSVG; CairoSVG improperly processes SVG files loaded from external resources
ruff,8,cli,True,0,,,
arize-ax-cli,8,likely-cli (no console classifier found),False,0,,,
youtube-transcript-api,7,likely-cli (no console classifier found),False,0,,,
semgrep,7,cli,True,0,,,
faker,7,cli,True,0,,,
graphifyy,6,likely-cli (no console classifier found),False,0,,,
esptool,6,cli,True,1,HIGH,GHSA-3f38-96qm-r3fw,esptool allows attackers to view sensitive information via weak cryptographic algorithm
frida,5,cli,True,0,,,
docling,5,likely-cli (no console classifier found),False,16,HIGH,"GHSA-2j5p-7p5m-cvqr,GHSA-9f4q-q82q-4359,GHSA-cjqg-rq2h-2fvj,GHSA-cr42-rg2m-mq4q,GHSA-m88r-rg27-5xfg,GHSA-pj2v-ggqh-cmq2,GHSA-q29v-xc37-wh5m,GHSA-r3xg-rg9j-67fv,PYSEC-2026-2142,PYSEC-2026-2143,PYSEC-2026-2144,PYSEC-2026-2145,PYSEC-2026-2146,PYSEC-2026-240,PYSEC-2026-2454,PYSEC-2026-2455",Docling: Potential Path Traversal via LaTeX \includegraphics and \input Commands; Docling's METS GBS backend is vulnerable to XML Entity Expansion (XXE) attacks; Docling: Unsafe Zip Extraction in EasyOCR Model Download
checkov,4,cli,True,0,,,
holoscan-cu12,4,cli,True,0,,,
pwntools,4,cli,True,2,CRITICAL,"GHSA-7xc5-ggpp-g249,PYSEC-2021-72",pwntools Server-Side Template Injection (SSTI) vulnerability; 
ropgadget,4,cli,True,0,,,
pymisp,4,cli,True,0,,,
